TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
1;487.5;570.2;513.9;558.3;9;23;14;24;011000001000000000000000100100000100010100122;001111001100000010100101110111100001101011112;000100010110100100010000100011000001100102222;010011100110101011010101101110011000111000110;1076.0;1055.0;1086.0;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;462.3;nan;407.5;0;12;0;12;;010010000000000000100000110001011001001001012;;001000100100001011001000000101001000001100000;nan;1055.0;nan;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;392.7;432.7;404.1;477.8;6;11;6;17;000000001000011001010000000000000010000000022;001101000101000000010000000110010000100000012;000000000001000100010000000010000000000012222;000101100010001101001001110011000101000000011;1077.0;1058.0;1088.0;1067.0
1;450.8;518.3;473.7;544.2;7;14;13;19;001000100000100000110100000000000000001000022;100000010001001000100010110010010011000001002;000011000010011100000010000010010000010102222;000111101011001001110011001001010000010100100;1075.0;1057.0;1085.0;1068.0
0;541.7;509.3;505.3;523.6;11;15;13;19;011000001100000000000000000100100011000111022;010000101000000001010000111010101110000001002;000001100101000000010100001010101000000112222;000101001100110100110011000100110101101001000;1186.0;1176.0;1190.0;1180.0
1;400.7;497.8;397.5;533.2;5;14;6;21;000000000000001110000000010000000000000010022;111001010111010011001000000000000100000010002;000100000000000000000010001000010000100002222;101100111010001011000101011101000001100011001;1077.0;1058.0;1088.0;1067.0
0;479.7;498.4;395.0;398.9;13;16;8;9;011010001000001101001000000000101000000001122;010010000110000011100101110000101100100001002;100001000000000000000100000110000000011012222;001000000000001001000010000011010001100000000;1076.0;1055.0;1086.0;1065.0
1;524.1;603.4;573.0;506.6;9;27;14;20;001000101000000001000010100001000001000100022;011111101101010000100111110111100101100011012;000000100011100100000010100000101011000102222;000100111010111011010010100011010000110000011;1076.0;1055.0;1086.0;1065.0
